target_id,election_date,election_year,office,district,district_display,is_special,role,candidate_id,candidate,cpf_id,filer_name,match_rule,filers_considered,roster_source,roster_error,horizon,window_start,cutoff,available,receipts_cache_identity,receipts,receipts_items,expenditures_cache_identity,expenditures,expenditures_items,race_complete
9e9efe8e226394a814f9,2026-11-03,2026,State Representative,Eighteenth Essex,18th Essex,False,dem,sec-943a2af0669180fe8a3a,Connor A. Murray,19583,"Murray, Connor",surname,4,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__0fd73dfacb04c6f7724d.json,21467.16,168,cache/ocpf/search_items__26073a94beca7f42a9db.json,9906.98,74,True
9e9efe8e226394a814f9,2026-11-03,2026,State Representative,Eighteenth Essex,18th Essex,False,opp,sec-3bbfed178519fcf7af1e,Christopher C. Shepley,18829,"Shepley, Christopher",surname,4,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__2d475526b8abe61b0426.json,14980.44,63,cache/ocpf/search_items__343c7a7ff331b482252d.json,14392.72,69,True
ca6bc1790b2328a0b83a,2026-11-03,2026,State Representative,Eighteenth Worcester,18th Worcester,False,dem,sec-b102324d7ed100f05b31,Jenifer Heck,19573,"Heck, Jenifer",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__e2f6d1d5bb6c765779a0.json,10802.2,91,cache/ocpf/search_items__2bd82678d5928f53df2a.json,8153.45,106,True
ca6bc1790b2328a0b83a,2026-11-03,2026,State Representative,Eighteenth Worcester,18th Worcester,False,opp,sec-bb6d60a5c6410922a178,Joseph D. McKenna,15809,"McKenna, Joseph D.",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__c4f566d31441474ee3d7.json,33049.32,127,cache/ocpf/search_items__5f5012f18c74e2a2eebe.json,17838.99,126,True
723b38ea01b0342e37ec,2026-11-03,2026,State Representative,Eighth Bristol,8th Bristol,False,dem,sec-55d39aa2cd6923ed9a1f,Steven J. Ouellette,18803,"Ouellette, Steven",surname,5,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__290428bdc2ef347696fd.json,22800.0,139,cache/ocpf/search_items__a3d699edfe248a50f601.json,6151.42,61,True
723b38ea01b0342e37ec,2026-11-03,2026,State Representative,Eighth Bristol,8th Bristol,False,opp,sec-8d9c364f678fdc413944,Jesse W. St. Gelais,18792,"St. Gelais, Jesse",multiword-surname,5,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__32f0d6a9aae4e160668b.json,34155.88,215,cache/ocpf/search_items__445fac331ef7caba1807.json,34557.15,184,True
52bba433647b238bf94c,2026-11-03,2026,State Representative,Eighth Plymouth,8th Plymouth,False,dem,sec-257e29dc4cf72e7136b5,Dennis C. Gallagher,18762,"Gallagher, Dennis",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__c4e6579bad6644107c9c.json,26072.02,218,cache/ocpf/search_items__bc0c3828a154a24d9eeb.json,10102.49,94,True
52bba433647b238bf94c,2026-11-03,2026,State Representative,Eighth Plymouth,8th Plymouth,False,opp,sec-451d59a45ef0a1620a85,John Edward Norris,19593,"Norris, John",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__2b4e2c629bcebef8fc15.json,10399.24,46,cache/ocpf/search_items__b7f3e48f449759214a2e.json,5206.83,29,True
ba5f5523f7696283dd48,2026-11-03,2026,State Representative,Fifteenth Essex,15th Essex,False,dem,sec-193a94cbdf8437135465,Ryan M. Hamilton,17951,"Hamilton, Ryan",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__ebf028d6e4fb9aeaec2b.json,17520.0,80,cache/ocpf/search_items__2c84ab994f1a084c19c1.json,12601.32,86,True
ba5f5523f7696283dd48,2026-11-03,2026,State Representative,Fifteenth Essex,15th Essex,False,opp,sec-6e94b802692612ac2695,"Ronald L. Heiseler, III",19808,"Heiseler, Ronald",surname,2,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__3efe63b6ea5db42bcef5.json,5391.06,24,cache/ocpf/search_items__bb0624f40aee380a4d70.json,2807.49,3,True
203ca9e87030d133f6ba,2026-11-03,2026,State Representative,Fifth Bristol,5th Bristol,False,dem,sec-b87861875f52dd31cdb5,Jamison D. Souza,19581,"Souza, Jamison",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__577874bcb92765293ad3.json,69877.72,340,cache/ocpf/search_items__6dd298df95fab5bd960f.json,57403.53,118,True
203ca9e87030d133f6ba,2026-11-03,2026,State Representative,Fifth Bristol,5th Bristol,False,opp,sec-2a322f332ad8d3ec596b,Justin E. Thurber,18129,"Thurber, Justin",surname,3,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__f8a70539577a7559894f.json,21433.78,115,cache/ocpf/search_items__21dcc838935272e9e6f9.json,6030.75,42,True
d2871e550f60025e1300,2026-11-03,2026,State Representative,Fifth Essex,5th Essex,False,dem,sec-ca9f9ed63eed5255e26a,Andrew Francis Robert Tarr,19580,"Tarr, Andrew",surname,6,legislative-feed,,60d,2025-09-04,2026-09-04,True,cache/ocpf/search_items__7413ce8ccfab4f978975.json,48074.94,229,cache/ocpf/search_items__5a54e814b3258c2bc1ba.json,43427.76,81,True
