parameter,variant,scope,n_races,race_table_mean,race_table_sd,reference_mean,reference_sd,difference,difference_in_sd,tolerance,within_tolerance
sigma,baseline,all_comparable,610,14.375886,0.418315,14.61902,0.421912,-0.243133,-0.576266,0.105478,False
Intercept,baseline,all_comparable,610,1.356003,1.296621,2.32762,1.318156,-0.971617,-0.737103,0.329539,False
PVI_N,baseline,all_comparable,610,1.641608,0.066509,1.601917,0.066059,0.039691,0.596777,0.016627,False
incumbent_dem,baseline,all_comparable,610,10.476866,1.37541,10.374749,1.405013,0.102117,0.072681,0.351253,True
incumbent_gop,baseline,all_comparable,610,-21.091953,1.843659,-21.271268,1.900909,0.179315,0.094331,0.475227,True
pres_elec,baseline,all_comparable,610,5.068903,1.208732,4.843528,1.254923,0.225375,0.179593,0.313731,True
sigma,baseline,concordant_inputs,521,14.397668,0.448406,14.543541,0.452827,-0.145873,-0.322139,0.113207,False
Intercept,baseline,concordant_inputs,521,0.90055,1.356639,1.771508,1.408622,-0.870958,-0.618305,0.352156,False
PVI_N,baseline,concordant_inputs,521,1.679615,0.072884,1.651358,0.071972,0.028257,0.387699,0.018221,False
incumbent_dem,baseline,concordant_inputs,521,10.231142,1.46069,10.201627,1.495894,0.029515,0.019731,0.373973,True
incumbent_gop,baseline,concordant_inputs,521,-20.036442,2.011763,-19.961396,2.044132,-0.075046,-0.036713,0.511033,True
pres_elec,baseline,concordant_inputs,521,4.082565,1.383342,4.133735,1.428161,-0.05117,-0.035829,0.35704,True
sigma,baseline,concordant_baseline_aligned,521,14.401778,0.444442,14.381618,0.45436,0.02016,0.04437,0.11359,True
Intercept,baseline,concordant_baseline_aligned,521,0.92404,1.378234,0.993413,1.387407,-0.069373,-0.050002,0.346852,True
PVI_N,baseline,concordant_baseline_aligned,521,1.678087,0.072526,1.676763,0.073323,0.001324,0.018059,0.018331,True
incumbent_dem,baseline,concordant_baseline_aligned,521,10.23669,1.454472,10.165974,1.47142,0.070716,0.04806,0.367855,True
incumbent_gop,baseline,concordant_baseline_aligned,521,-20.040943,2.028234,-20.09285,2.027243,0.051907,0.025592,0.507058,True
pres_elec,baseline,concordant_baseline_aligned,521,4.069273,1.418324,4.000662,1.412134,0.068611,0.048374,0.354581,True
