variant,parameter,mean,sd,eti89_lb,eti89_ub,fold,definition,component,fold_schedule
baseline,sigma,14.027424,0.721049,12.916724,15.215337,2014-01-07,current,,election_date>=2014-01-01
baseline,Intercept,-5.766812,2.35649,-9.537543,-1.978385,2014-01-07,current,,election_date>=2014-01-01
baseline,PVI_N,1.749774,0.120474,1.554635,1.940822,2014-01-07,current,,election_date>=2014-01-01
baseline,incumbent_dem,10.867907,2.287426,7.147931,14.502564,2014-01-07,current,,election_date>=2014-01-01
baseline,incumbent_gop,-23.254453,3.976806,-29.638262,-16.822738,2014-01-07,current,,election_date>=2014-01-01
baseline,pres_elec,13.303106,2.174456,9.750308,16.758063,2014-01-07,current,,election_date>=2014-01-01
baseline,sigma,14.11962,0.716535,13.034813,15.292592,2014-04-01,current,,election_date>=2014-01-01
baseline,Intercept,-6.651954,2.320782,-10.383904,-2.99317,2014-04-01,current,,election_date>=2014-01-01
baseline,PVI_N,1.782223,0.119816,1.590726,1.972114,2014-04-01,current,,election_date>=2014-01-01
baseline,incumbent_dem,11.362343,2.283512,7.709917,15.02572,2014-04-01,current,,election_date>=2014-01-01
baseline,incumbent_gop,-22.486646,3.934767,-28.774864,-16.139946,2014-04-01,current,,election_date>=2014-01-01
baseline,pres_elec,13.423501,2.186271,9.893415,16.96686,2014-04-01,current,,election_date>=2014-01-01
baseline,sigma,14.148975,0.708039,13.069209,15.344112,2014-11-04,current,,election_date>=2014-01-01
baseline,Intercept,-5.87102,2.235803,-9.445206,-2.296832,2014-11-04,current,,election_date>=2014-01-01
baseline,PVI_N,1.773582,0.118878,1.584731,1.960868,2014-11-04,current,,election_date>=2014-01-01
baseline,incumbent_dem,10.702965,2.28346,7.072261,14.331011,2014-11-04,current,,election_date>=2014-01-01
baseline,incumbent_gop,-23.133067,3.905944,-29.453294,-16.942588,2014-11-04,current,,election_date>=2014-01-01
baseline,pres_elec,13.252118,2.195127,9.764639,16.681281,2014-11-04,current,,election_date>=2014-01-01
baseline,sigma,14.342009,0.600184,13.431393,15.326909,2015-03-31,current,,election_date>=2014-01-01
baseline,Intercept,-5.318655,1.870564,-8.279015,-2.349361,2015-03-31,current,,election_date>=2014-01-01
baseline,PVI_N,1.73831,0.092434,1.592411,1.885094,2015-03-31,current,,election_date>=2014-01-01
baseline,incumbent_dem,13.254763,1.932326,10.157159,16.327974,2015-03-31,current,,election_date>=2014-01-01
baseline,incumbent_gop,-20.871869,3.124708,-25.942487,-15.858887,2015-03-31,current,,election_date>=2014-01-01
baseline,pres_elec,11.006489,1.980116,7.807148,14.165497,2015-03-31,current,,election_date>=2014-01-01
baseline,sigma,14.619113,0.601795,13.689154,15.614246,2015-11-03,current,,election_date>=2014-01-01
baseline,Intercept,-4.889027,1.859338,-7.858239,-1.888034,2015-11-03,current,,election_date>=2014-01-01
baseline,PVI_N,1.75938,0.095443,1.60641,1.912704,2015-11-03,current,,election_date>=2014-01-01
baseline,incumbent_dem,12.659364,1.990146,9.450903,15.806567,2015-11-03,current,,election_date>=2014-01-01
baseline,incumbent_gop,-21.358192,3.199052,-26.442288,-16.29226,2015-11-03,current,,election_date>=2014-01-01
baseline,pres_elec,10.848126,1.986287,7.735788,13.999529,2015-11-03,current,,election_date>=2014-01-01
baseline,sigma,14.616407,0.610801,13.682185,15.638499,2016-03-01,current,,election_date>=2014-01-01
baseline,Intercept,-4.759355,1.884893,-7.772571,-1.732418,2016-03-01,current,,election_date>=2014-01-01
baseline,PVI_N,1.759628,0.095781,1.607795,1.914204,2016-03-01,current,,election_date>=2014-01-01
baseline,incumbent_dem,12.548297,1.953025,9.406289,15.729014,2016-03-01,current,,election_date>=2014-01-01
baseline,incumbent_gop,-21.398311,3.178454,-26.518649,-16.397611,2016-03-01,current,,election_date>=2014-01-01
baseline,pres_elec,10.772422,2.020657,7.562122,14.046557,2016-03-01,current,,election_date>=2014-01-01
baseline,sigma,14.592652,0.597726,13.661083,15.586314,2016-05-10,current,,election_date>=2014-01-01
baseline,Intercept,-4.665479,1.88566,-7.6699,-1.679946,2016-05-10,current,,election_date>=2014-01-01
baseline,PVI_N,1.758911,0.09578,1.607315,1.910783,2016-05-10,current,,election_date>=2014-01-01
baseline,incumbent_dem,12.473174,1.912136,9.433866,15.502382,2016-05-10,current,,election_date>=2014-01-01
baseline,incumbent_gop,-21.469528,3.212119,-26.570097,-16.451704,2016-05-10,current,,election_date>=2014-01-01
baseline,pres_elec,10.75216,1.989141,7.512144,13.867595,2016-05-10,current,,election_date>=2014-01-01
baseline,sigma,14.560931,0.605309,13.624619,15.581047,2016-11-08,current,,election_date>=2014-01-01
baseline,Intercept,-4.642817,1.860747,-7.627753,-1.71754,2016-11-08,current,,election_date>=2014-01-01
baseline,PVI_N,1.756394,0.096469,1.603173,1.911351,2016-11-08,current,,election_date>=2014-01-01
baseline,incumbent_dem,12.453494,1.955197,9.38263,15.593308,2016-11-08,current,,election_date>=2014-01-01
baseline,incumbent_gop,-21.483678,3.223269,-26.561288,-16.225403,2016-11-08,current,,election_date>=2014-01-01
baseline,pres_elec,10.757031,2.006696,7.568812,13.987135,2016-11-08,current,,election_date>=2014-01-01
baseline,sigma,14.408444,0.543979,13.573633,15.310131,2017-07-25,current,,election_date>=2014-01-01
baseline,Intercept,-3.620581,1.716886,-6.426359,-0.919074,2017-07-25,current,,election_date>=2014-01-01
baseline,PVI_N,1.630538,0.083636,1.495849,1.761812,2017-07-25,current,,election_date>=2014-01-01
baseline,incumbent_dem,12.902455,1.801236,10.062913,15.821049,2017-07-25,current,,election_date>=2014-01-01
baseline,incumbent_gop,-23.581516,2.678639,-27.871233,-19.253216,2017-07-25,current,,election_date>=2014-01-01
baseline,pres_elec,10.826251,1.648614,8.206663,13.452479,2017-07-25,current,,election_date>=2014-01-01
baseline,sigma,14.793927,0.541371,13.945297,15.685764,2017-10-17,current,,election_date>=2014-01-01
baseline,Intercept,-2.930137,1.753645,-5.70659,-0.147198,2017-10-17,current,,election_date>=2014-01-01
baseline,PVI_N,1.635589,0.084008,1.501526,1.769471,2017-10-17,current,,election_date>=2014-01-01
baseline,incumbent_dem,12.233257,1.854428,9.266284,15.192792,2017-10-17,current,,election_date>=2014-01-01
baseline,incumbent_gop,-24.095628,2.783047,-28.553683,-19.673281,2017-10-17,current,,election_date>=2014-01-01
baseline,pres_elec,10.628059,1.694527,7.925751,13.355774,2017-10-17,current,,election_date>=2014-01-01
baseline,sigma,14.7708,0.558469,13.897228,15.667167,2017-11-07,current,,election_date>=2014-01-01
baseline,Intercept,-2.850614,1.732764,-5.679061,-0.098275,2017-11-07,current,,election_date>=2014-01-01
baseline,PVI_N,1.635087,0.086222,1.496232,1.772383,2017-11-07,current,,election_date>=2014-01-01
baseline,incumbent_dem,12.134918,1.813885,9.265125,15.026498,2017-11-07,current,,election_date>=2014-01-01
baseline,incumbent_gop,-24.244272,2.71918,-28.601502,-19.908299,2017-11-07,current,,election_date>=2014-01-01
baseline,pres_elec,10.701213,1.684641,7.948686,13.353478,2017-11-07,current,,election_date>=2014-01-01
baseline,sigma,14.780172,0.557424,13.923658,15.704425,2017-12-05,current,,election_date>=2014-01-01
baseline,Intercept,-2.749837,1.720367,-5.504932,0.01761,2017-12-05,current,,election_date>=2014-01-01
