section,left_definition,right_definition,variant,n_shared,left_rmse,right_rmse,rmse_difference,ci_low,ci_high,interval_spans_zero,interval_available,verdict,races_favouring_left,races_favouring_right,training_sets_differ,response_columns_differ,note,left_response,right_response,shift_median,shift_p95,shift_max,races_shifted_over_threshold,shift_threshold,n_exclusive,exclusive_rmse,exclusive_specials,excluded_because,resampling_unit,n_clusters,bootstrap_resamples,bootstrap_seed
paired_on_shared_races,current,two_party,baseline,346.0,12.447021,12.761409,-0.314388,-1.074264,0.278379,True,True,undecided,189.0,157.0,True,True,"the two models trained on different race sets, so this difference isolates neither the response nor the eligibility rule on its own",,,,,,,,,,,,election_date,22,10000,20260912
response_shift_on_shared_races,current,two_party,baseline,346.0,,,,,,,,,,,,True,"part of the RMSE difference is the target moving, not accuracy",dem_margin,dem_margin_two_party,0.0,0.816202,54.413789,15.0,1.0,,,,,election_date,22,10000,20260912
exclusive_races,current,two_party,baseline,,,,,,,,,,,,,,held out by current and not by two_party,,,,,,,,78.0,25.25296,2.0,78 fails eligibility criterion 'major_party': both a Democrat and a Republican stood,election_date,22,10000,20260912
exclusive_races,two_party,current,baseline,,,,,,,,,,,,,,held out by two_party and not by current,,,,,,,,0.0,,0.0,,election_date,22,10000,20260912
paired_on_shared_races,two_party,current,baseline,346.0,12.761409,12.447021,0.314388,-0.278379,1.074264,True,True,undecided,157.0,189.0,True,True,"the two models trained on different race sets, so this difference isolates neither the response nor the eligibility rule on its own",,,,,,,,,,,,election_date,22,10000,20260912
response_shift_on_shared_races,two_party,current,baseline,346.0,,,,,,,,,,,,True,"part of the RMSE difference is the target moving, not accuracy",dem_margin_two_party,dem_margin,0.0,0.816202,54.413789,15.0,1.0,,,,,election_date,22,10000,20260912
exclusive_races,two_party,current,baseline,,,,,,,,,,,,,,held out by two_party and not by current,,,,,,,,0.0,,0.0,,election_date,22,10000,20260912
exclusive_races,current,two_party,baseline,,,,,,,,,,,,,,held out by current and not by two_party,,,,,,,,78.0,25.25296,2.0,78 fails eligibility criterion 'major_party': both a Democrat and a Republican stood,election_date,22,10000,20260912
paired_on_shared_races,current,two_party_or_strongest,baseline,413.0,15.122938,15.007609,0.115329,-0.466252,0.586789,True,True,undecided,213.0,200.0,True,True,"the two models trained on different race sets, so this difference isolates neither the response nor the eligibility rule on its own",,,,,,,,,,,,election_date,23,10000,20260912
response_shift_on_shared_races,current,two_party_or_strongest,baseline,413.0,,,,,,,,,,,,True,"part of the RMSE difference is the target moving, not accuracy",dem_margin,dem_margin_two_party_or_strongest,0.0,0.742169,54.413789,17.0,1.0,,,,,election_date,23,10000,20260912
