definition,election_id,election_year,office,district_display,reason
current,126188,2014,State Representative,22nd Middlesex,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
current,126285,2014,State Representative,5th Hampden,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
current,140929,2020,State Representative,10th Norfolk,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
current,140800,2020,State Senate,4th Middlesex,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
current,140796,2020,State Senate,Cape and Islands,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
current,154477,2022,State Representative,11th Plymouth,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
current,154500,2022,State Representative,13th Essex,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
current,160299,2023,State Representative,9th Suffolk,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
current,160911,2024,State Representative,6th Worcester,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
current,165453,2024,State Representative,2nd Plymouth,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
two_party,126188,2014,State Representative,22nd Middlesex,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
two_party,126285,2014,State Representative,5th Hampden,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
two_party,140929,2020,State Representative,10th Norfolk,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
two_party,140800,2020,State Senate,4th Middlesex,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
two_party,140796,2020,State Senate,Cape and Islands,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
two_party,154477,2022,State Representative,11th Plymouth,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
two_party,154500,2022,State Representative,13th Essex,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
two_party,160299,2023,State Representative,9th Suffolk,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
two_party,160911,2024,State Representative,6th Worcester,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
two_party,165453,2024,State Representative,2nd Plymouth,"fails eligibility criterion 'contested_on_ballot_lines': two or more ballot lines, ignoring write-ins"
two_party,104719,2010,State Senate,"Middlesex, Suffolk and Essex",fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,104723,2010,State Representative,16th Essex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105503,2010,State Representative,14th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105548,2010,State Representative,24th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105675,2010,State Representative,28th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105720,2010,State Representative,34th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105713,2010,State Representative,35th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105737,2010,State Representative,3rd Berkshire,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105601,2010,State Representative,3rd Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105692,2010,State Representative,3rd Norfolk,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105525,2010,State Representative,4th Berkshire,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105631,2010,State Representative,5th Norfolk,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105682,2010,State Representative,6th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105677,2010,State Representative,8th Bristol,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105694,2010,State Representative,8th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105655,2010,State Representative,9th Hampden,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,105658,2010,State Senate,Plymouth and Norfolk,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,112952,2012,State Representative,11th Hampden,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,112911,2012,State Representative,16th Essex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,112746,2012,State Representative,17th Essex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,112809,2012,State Representative,22nd Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,112731,2012,State Representative,4th Berkshire,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,112905,2012,State Representative,4th Norfolk,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,112822,2012,State Representative,5th Suffolk,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,112867,2012,State Representative,6th Hampden,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,112866,2012,State Representative,9th Hampden,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,124792,2013,State Representative,28th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,124831,2013,State Representative,12th Suffolk,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,126096,2014,State Representative,14th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,126292,2014,State Representative,18th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,126199,2014,State Representative,1st Suffolk,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,126234,2014,State Representative,26th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,126326,2014,State Representative,27th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,126301,2014,State Representative,33rd Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,126307,2014,State Representative,34th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,126127,2014,State Representative,3rd Hampshire,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,126186,2014,State Representative,6th Essex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,126271,2014,State Representative,6th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,126324,2014,State Representative,7th Essex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,126243,2014,State Representative,9th Hampden,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,126291,2014,State Representative,9th Middlesex,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
two_party,126212,2014,State Senate,1st Suffolk,fails eligibility criterion 'major_party': both a Democrat and a Republican stood
