definition,variant,fold,n_holdout,max_rhat,min_ess_bulk,min_ess_tail,divergences,seed,n_train,diagnostics_passed,target_accept,tune,draws,chains,group_prior,as_of,separating_races,refused_reason,component,fold_schedule,level_counts
current,baseline,2014-01-07,1,1.0011,6087.9,6184.7,0,496351046,199,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2014-04-01,3,1.0005,6665.6,6189.9,0,1810586219,200,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2014-11-04,91,1.0014,6231.5,6008.2,0,1851701883,203,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2015-03-31,2,1.0007,7248.6,5968.1,0,753415398,294,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2015-11-03,1,1.001,6986.4,6304.3,0,1491464242,296,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2016-03-01,2,1.0011,6977.9,5685.5,0,1838203319,297,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2016-05-10,1,1.0005,7049.3,6321.1,0,482577175,299,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2016-11-08,59,1.0007,7110.3,6328.6,0,1067866761,300,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2017-07-25,1,1.0003,6834.6,6158.5,0,796689135,359,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2017-10-17,1,1.0008,7305.7,6475.9,0,1974222192,360,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2017-11-07,2,1.0005,6836.7,5237.0,0,2016117991,361,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2017-12-05,1,1.0007,7333.7,5433.6,0,2061683646,363,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2018-04-03,1,1.0006,7250.7,6304.8,0,1836599397,364,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2018-11-06,72,1.0005,6287.9,6346.1,0,999542684,365,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2020-03-03,1,1.0008,7021.0,5929.9,0,1583117351,437,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2020-05-19,2,1.001,6849.0,5954.1,0,152235102,438,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2020-06-02,2,1.0007,7474.5,5907.2,0,1577871788,440,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2020-11-03,50,1.0011,6783.5,6181.5,0,975799151,442,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2021-03-30,1,1.0003,7039.0,6314.0,0,852977594,492,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2021-11-30,1,1.0011,7223.8,5956.1,0,1821082445,493,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2022-11-08,74,1.0012,6415.9,5927.4,0,1736727073,494,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2023-11-07,1,1.0012,6306.1,5869.8,0,1011495259,568,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,baseline,2024-11-05,54,1.0006,7118.2,6240.2,0,1041432576,569,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2014-01-07,1,1.0007,7428.4,6212.3,0,1862679715,199,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2014-04-01,3,1.0006,7723.4,6241.6,0,542677384,200,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2014-11-04,91,1.0015,7613.9,6116.2,0,547468838,203,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2015-03-31,2,1.0008,7844.2,5775.0,0,1596474511,294,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2015-11-03,1,1.0008,7722.6,6217.7,0,69044995,296,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2016-03-01,2,1.001,6478.6,5800.7,0,1404569818,297,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2016-05-10,1,1.0008,7412.4,6137.3,0,922624897,299,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2016-11-08,59,1.0013,7665.2,5933.4,0,468971122,300,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2017-07-25,1,1.0009,8523.9,6124.9,0,1943970230,359,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2017-10-17,1,1.0008,6944.9,5972.2,0,1838013153,360,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2017-11-07,2,1.0014,8111.5,5708.3,0,1827094729,361,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2017-12-05,1,1.0006,7477.1,6249.2,0,437715571,363,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2018-04-03,1,1.001,6910.1,6030.1,0,207282521,364,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2018-11-06,72,1.0007,7682.7,6243.8,0,963418929,365,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2020-03-03,1,1.0013,7126.0,6127.3,0,1155770797,437,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2020-05-19,2,1.001,6731.6,5708.4,0,1041845516,438,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2020-06-02,2,1.0006,6939.0,5884.6,0,1137030385,440,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2020-11-03,50,1.0016,7694.7,5749.9,0,1129899207,442,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2021-03-30,1,1.0009,7106.3,5844.4,0,1651570118,492,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2021-11-30,1,1.0007,7987.7,6155.6,0,158393037,493,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2022-11-08,74,1.0012,7542.2,6107.0,0,1179813928,494,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2023-11-07,1,1.0008,7927.0,5442.5,0,1412390071,568,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_term,2024-11-05,54,1.0004,7142.4,6005.2,0,760140540,569,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_plain,2014-01-07,1,1.0013,6263.4,5682.9,0,1756816567,199,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_plain,2014-04-01,3,1.0006,6980.9,6219.6,0,157341113,200,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_plain,2014-11-04,91,1.0007,6103.6,5969.5,0,1503415429,203,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_plain,2015-03-31,2,1.0005,7230.2,6175.6,0,193025923,294,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_plain,2015-11-03,1,1.0026,6269.4,6287.0,0,1944608536,296,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_plain,2016-03-01,2,1.0003,6955.4,6458.0,0,56370073,297,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_plain,2016-05-10,1,1.0011,7094.1,6134.5,0,2125130503,299,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_plain,2016-11-08,59,1.0006,7403.9,5964.8,0,643995167,300,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_plain,2017-07-25,1,1.0012,7371.1,6115.7,0,240354435,359,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
current,special_pooled_plain,2017-10-17,1,1.0004,6905.0,6001.8,0,1803934091,360,True,0.8,1000,2000,4,library defaults,not dated,none,,,election_date>=2014-01-01,
