definition,variant,bin,bin_lower,bin_upper,n_races,small_sample,mean_forecast,observed_frequency,fold_schedule
current,special_pooled_term,0.0-0.1,0.0,0.1,47,False,0.041976,0.021277,election_date>=2014-01-01
current,special_pooled_term,0.1-0.2,0.1,0.2,30,False,0.137921,0.033333,election_date>=2014-01-01
current,special_pooled_term,0.2-0.3,0.2,0.3,22,False,0.234233,0.318182,election_date>=2014-01-01
current,special_pooled_term,0.3-0.4,0.3,0.4,13,False,0.360779,0.384615,election_date>=2014-01-01
current,special_pooled_term,0.4-0.5,0.4,0.5,9,True,0.463917,0.555556,election_date>=2014-01-01
current,special_pooled_term,0.5-0.6,0.5,0.6,12,False,0.557125,0.75,election_date>=2014-01-01
current,special_pooled_term,0.6-0.7,0.6,0.7,29,False,0.658909,0.758621,election_date>=2014-01-01
current,special_pooled_term,0.7-0.8,0.7,0.8,34,False,0.748151,0.911765,election_date>=2014-01-01
current,special_pooled_term,0.8-0.9,0.8,0.9,53,False,0.849283,0.90566,election_date>=2014-01-01
current,special_pooled_term,0.9-1.0,0.9,1.0,175,False,0.970409,1.0,election_date>=2014-01-01
current,special_pooled_plain,0.0-0.1,0.0,0.1,47,False,0.043806,0.021277,election_date>=2014-01-01
current,special_pooled_plain,0.1-0.2,0.1,0.2,31,False,0.138923,0.032258,election_date>=2014-01-01
current,special_pooled_plain,0.2-0.3,0.2,0.3,19,False,0.246829,0.315789,election_date>=2014-01-01
current,special_pooled_plain,0.3-0.4,0.3,0.4,15,False,0.354625,0.4,election_date>=2014-01-01
current,special_pooled_plain,0.4-0.5,0.4,0.5,6,True,0.462271,0.333333,election_date>=2014-01-01
current,special_pooled_plain,0.5-0.6,0.5,0.6,17,False,0.546132,0.705882,election_date>=2014-01-01
current,special_pooled_plain,0.6-0.7,0.6,0.7,26,False,0.664091,0.846154,election_date>=2014-01-01
current,special_pooled_plain,0.7-0.8,0.7,0.8,35,False,0.746693,0.914286,election_date>=2014-01-01
current,special_pooled_plain,0.8-0.9,0.8,0.9,56,False,0.853623,0.910714,election_date>=2014-01-01
current,special_pooled_plain,0.9-1.0,0.9,1.0,172,False,0.971454,0.994186,election_date>=2014-01-01
current,special_split,0.0-0.1,0.0,0.1,55,False,0.0422,0.036364,election_date>=2014-01-01
current,special_split,0.1-0.2,0.1,0.2,27,False,0.146657,0.037037,election_date>=2014-01-01
current,special_split,0.2-0.3,0.2,0.3,17,False,0.24661,0.352941,election_date>=2014-01-01
current,special_split,0.3-0.4,0.3,0.4,9,True,0.354403,0.333333,election_date>=2014-01-01
current,special_split,0.4-0.5,0.4,0.5,11,False,0.449693,0.363636,election_date>=2014-01-01
current,special_split,0.5-0.6,0.5,0.6,8,True,0.554734,0.75,election_date>=2014-01-01
current,special_split,0.6-0.7,0.6,0.7,25,False,0.65193,0.76,election_date>=2014-01-01
current,special_split,0.7-0.8,0.7,0.8,37,False,0.751155,0.918919,election_date>=2014-01-01
current,special_split,0.8-0.9,0.8,0.9,46,False,0.847894,0.934783,election_date>=2014-01-01
current,special_split,0.9-1.0,0.9,1.0,189,False,0.970309,0.984127,election_date>=2014-01-01
current,baseline_num_candidates,0.0-0.1,0.0,0.1,47,False,0.044633,0.021277,election_date>=2014-01-01
current,baseline_num_candidates,0.1-0.2,0.1,0.2,32,False,0.141555,0.0625,election_date>=2014-01-01
current,baseline_num_candidates,0.2-0.3,0.2,0.3,17,False,0.247743,0.294118,election_date>=2014-01-01
current,baseline_num_candidates,0.3-0.4,0.3,0.4,18,False,0.353028,0.388889,election_date>=2014-01-01
current,baseline_num_candidates,0.4-0.5,0.4,0.5,8,True,0.462094,0.5,election_date>=2014-01-01
current,baseline_num_candidates,0.5-0.6,0.5,0.6,15,False,0.559508,0.733333,election_date>=2014-01-01
current,baseline_num_candidates,0.6-0.7,0.6,0.7,21,False,0.653827,0.761905,election_date>=2014-01-01
current,baseline_num_candidates,0.7-0.8,0.7,0.8,34,False,0.745132,0.941176,election_date>=2014-01-01
current,baseline_num_candidates,0.8-0.9,0.8,0.9,56,False,0.852879,0.910714,election_date>=2014-01-01
current,baseline_num_candidates,0.9-1.0,0.9,1.0,176,False,0.971297,0.994318,election_date>=2014-01-01
current,baseline_pres_incumbent,0.0-0.1,0.0,0.1,49,False,0.054066,0.020408,election_date>=2014-01-01
current,baseline_pres_incumbent,0.1-0.2,0.1,0.2,33,False,0.143636,0.090909,election_date>=2014-01-01
current,baseline_pres_incumbent,0.2-0.3,0.2,0.3,12,False,0.250583,0.166667,election_date>=2014-01-01
current,baseline_pres_incumbent,0.3-0.4,0.3,0.4,18,False,0.34809,0.444444,election_date>=2014-01-01
current,baseline_pres_incumbent,0.4-0.5,0.4,0.5,8,True,0.4665,0.375,election_date>=2014-01-01
current,baseline_pres_incumbent,0.5-0.6,0.5,0.6,15,False,0.543958,0.733333,election_date>=2014-01-01
current,baseline_pres_incumbent,0.6-0.7,0.6,0.7,27,False,0.653736,0.814815,election_date>=2014-01-01
current,baseline_pres_incumbent,0.7-0.8,0.7,0.8,36,False,0.746212,0.916667,election_date>=2014-01-01
current,baseline_pres_incumbent,0.8-0.9,0.8,0.9,51,False,0.850377,0.901961,election_date>=2014-01-01
current,baseline_pres_incumbent,0.9-1.0,0.9,1.0,175,False,0.970707,1.0,election_date>=2014-01-01
current,baseline_year,0.0-0.1,0.0,0.1,49,False,0.060046,0.0,election_date>=2014-01-01
current,baseline_year,0.1-0.2,0.1,0.2,30,False,0.135442,0.1,election_date>=2014-01-01
current,baseline_year,0.2-0.3,0.2,0.3,14,False,0.251705,0.214286,election_date>=2014-01-01
current,baseline_year,0.3-0.4,0.3,0.4,9,True,0.354722,0.222222,election_date>=2014-01-01
current,baseline_year,0.4-0.5,0.4,0.5,14,False,0.443286,0.357143,election_date>=2014-01-01
current,baseline_year,0.5-0.6,0.5,0.6,19,False,0.553197,0.684211,election_date>=2014-01-01
current,baseline_year,0.6-0.7,0.6,0.7,15,False,0.653575,0.866667,election_date>=2014-01-01
current,baseline_year,0.7-0.8,0.7,0.8,45,False,0.753414,0.933333,election_date>=2014-01-01
current,baseline_year,0.8-0.9,0.8,0.9,55,False,0.854916,0.909091,election_date>=2014-01-01
current,baseline_year,0.9-1.0,0.9,1.0,174,False,0.969062,0.994253,election_date>=2014-01-01
current,baseline_national_env,0.0-0.1,0.0,0.1,36,False,0.052924,0.0,election_date>=2014-01-01
current,baseline_national_env,0.1-0.2,0.1,0.2,38,False,0.144674,0.105263,election_date>=2014-01-01
current,baseline_national_env,0.2-0.3,0.2,0.3,15,False,0.24125,0.133333,election_date>=2014-01-01
current,baseline_national_env,0.3-0.4,0.3,0.4,15,False,0.346483,0.266667,election_date>=2014-01-01
current,baseline_national_env,0.4-0.5,0.4,0.5,11,False,0.448705,0.454545,election_date>=2014-01-01
