definition,variant,segment_type,segment_value,n_races,small_sample,rmse,mae,bias,r2,coverage_90,crps,win_accuracy,brier_score,win_log_loss,bias_presidential_general,bias_midterm_general,pres_bias_gap,folds_failing_diagnostics,folds_refused,folds_absent,as_of,skipped_dates,fold_schedule
current,special_pooled_term,pooled,all,424,False,15.65423,11.710869,-2.974737,0.681414,0.893868,8.556586,0.912736,0.069192,0.237907,2.711933,-6.385719,9.097652,,,,not dated,"2023-05-30,2024-03-05",election_date>=2014-01-01
current,special_pooled_term,general_election,all,400,False,15.11727,11.417433,-2.678426,0.700419,0.9025,8.318169,0.9175,0.067004,0.231426,,,,,,,,"2023-05-30,2024-03-05",election_date>=2014-01-01
current,special_pooled_term,latest_general_fold,2024-11-05,54,False,15.110018,12.797882,8.018785,0.674756,0.925926,8.691448,0.907407,0.073828,0.235793,,,,,,,,"2023-05-30,2024-03-05",election_date>=2014-01-01
current,special_pooled_term,cross_fitted_probability_band,0.0-0.2,77,False,13.945113,10.90129,-3.490164,-0.170798,0.909091,7.906808,0.974026,0.03139,0.155366,,,,,,,,"2023-05-30,2024-03-05",election_date>=2014-01-01
current,special_pooled_term,cross_fitted_probability_band,0.2-0.4,35,False,17.627705,13.493935,-1.119085,0.01849,0.828571,9.851368,0.657143,0.222803,0.637809,,,,,,,,"2023-05-30,2024-03-05",election_date>=2014-01-01
current,special_pooled_term,cross_fitted_probability_band,0.4-0.6,21,False,15.610634,11.82918,-6.158049,-0.128961,0.857143,8.596185,0.619048,0.227064,0.646851,,,,,,,,"2023-05-30,2024-03-05",election_date>=2014-01-01
current,special_pooled_term,cross_fitted_probability_band,0.6-0.8,63,False,13.07145,9.641,-2.792764,-0.033731,0.952381,7.132436,0.84127,0.14538,0.470211,,,,,,,,"2023-05-30,2024-03-05",election_date>=2014-01-01
current,special_pooled_term,cross_fitted_probability_band,0.8-1.0,228,False,16.513119,12.271604,-2.842608,0.35511,0.885965,8.967137,0.97807,0.022786,0.10254,,,,,,,,"2023-05-30,2024-03-05",election_date>=2014-01-01
current,special_pooled_term,fold,2014-01-07,1,True,30.792682,30.792682,30.792682,,0.0,22.617988,1.0,0.041923,0.229099,,,,,,,,"2023-05-30,2024-03-05",election_date>=2014-01-01
current,special_pooled_term,fold,2014-04-01,3,True,16.128273,12.633031,-12.015826,-0.371368,0.666667,9.363145,0.666667,0.180919,0.54019,,,,,,,,"2023-05-30,2024-03-05",election_date>=2014-01-01
