definition,variant,predictor,omitted_date,remaining_races,remaining_clusters,rmse_difference,full_rmse_difference,sign_change
two_party_or_strongest,baseline_money_logratio,PVI_N,2014-11-04,312,20,2.986114,3.931006,False
two_party_or_strongest,baseline_money_logratio,PVI_N,2016-11-08,340,20,4.279499,3.931006,False
two_party_or_strongest,baseline_money_logratio,PVI_N,2018-11-06,329,20,4.771022,3.931006,False
two_party_or_strongest,baseline_money_logratio,PVI_N,2020-11-03,349,20,3.88074,3.931006,False
two_party_or_strongest,baseline_money_logratio,PVI_N,2022-11-08,332,20,3.441213,3.931006,False
two_party_or_strongest,baseline_money_logratio,PVI_N,2024-11-05,350,20,3.882244,3.931006,False
two_party_or_strongest,baseline_money_logratio,incumbent_status,2014-11-04,312,20,2.252948,2.540248,False
two_party_or_strongest,baseline_money_logratio,incumbent_status,2016-11-08,340,20,2.060394,2.540248,False
two_party_or_strongest,baseline_money_logratio,incumbent_status,2018-11-06,329,20,2.751993,2.540248,False
two_party_or_strongest,baseline_money_logratio,incumbent_status,2020-11-03,349,20,2.357689,2.540248,False
two_party_or_strongest,baseline_money_logratio,incumbent_status,2022-11-08,332,20,2.505586,2.540248,False
two_party_or_strongest,baseline_money_logratio,incumbent_status,2024-11-05,350,20,2.786883,2.540248,False
two_party_or_strongest,baseline_money_logratio,pres_elec,2014-11-04,312,20,-0.716302,-0.704503,False
two_party_or_strongest,baseline_money_logratio,pres_elec,2016-11-08,340,20,-1.101812,-0.704503,False
two_party_or_strongest,baseline_money_logratio,pres_elec,2018-11-06,329,20,-0.223451,-0.704503,False
two_party_or_strongest,baseline_money_logratio,pres_elec,2020-11-03,349,20,-0.9181,-0.704503,False
two_party_or_strongest,baseline_money_logratio,pres_elec,2022-11-08,332,20,-0.846238,-0.704503,False
two_party_or_strongest,baseline_money_logratio,pres_elec,2024-11-05,350,20,-0.425915,-0.704503,False
two_party_or_strongest,baseline_money_logratio,money_logratio_primary,2014-11-04,312,20,1.916744,1.668993,False
two_party_or_strongest,baseline_money_logratio,money_logratio_primary,2016-11-08,340,20,1.588327,1.668993,False
two_party_or_strongest,baseline_money_logratio,money_logratio_primary,2018-11-06,329,20,1.500954,1.668993,False
two_party_or_strongest,baseline_money_logratio,money_logratio_primary,2020-11-03,349,20,1.743991,1.668993,False
two_party_or_strongest,baseline_money_logratio,money_logratio_primary,2022-11-08,332,20,1.683116,1.668993,False
two_party_or_strongest,baseline_money_logratio,money_logratio_primary,2024-11-05,350,20,1.761423,1.668993,False
two_party_or_strongest,baseline_timing_money,PVI_N,2014-11-04,312,20,3.614082,4.411329,False
two_party_or_strongest,baseline_timing_money,PVI_N,2016-11-08,340,20,4.860709,4.411329,False
two_party_or_strongest,baseline_timing_money,PVI_N,2018-11-06,329,20,4.73958,4.411329,False
two_party_or_strongest,baseline_timing_money,PVI_N,2020-11-03,349,20,4.446942,4.411329,False
two_party_or_strongest,baseline_timing_money,PVI_N,2022-11-08,332,20,3.938082,4.411329,False
two_party_or_strongest,baseline_timing_money,PVI_N,2024-11-05,350,20,4.459834,4.411329,False
two_party_or_strongest,baseline_timing_money,incumbent_status,2014-11-04,312,20,3.222469,3.290249,False
two_party_or_strongest,baseline_timing_money,incumbent_status,2016-11-08,340,20,2.91847,3.290249,False
two_party_or_strongest,baseline_timing_money,incumbent_status,2018-11-06,329,20,2.817007,3.290249,False
two_party_or_strongest,baseline_timing_money,incumbent_status,2020-11-03,349,20,3.210704,3.290249,False
two_party_or_strongest,baseline_timing_money,incumbent_status,2022-11-08,332,20,3.517146,3.290249,False
two_party_or_strongest,baseline_timing_money,incumbent_status,2024-11-05,350,20,3.674123,3.290249,False
two_party_or_strongest,baseline_timing_money,ballot_timing,2014-11-04,312,20,0.504117,0.27345,False
two_party_or_strongest,baseline_timing_money,ballot_timing,2016-11-08,340,20,0.008766,0.27345,False
two_party_or_strongest,baseline_timing_money,ballot_timing,2018-11-06,329,20,-0.178728,0.27345,True
two_party_or_strongest,baseline_timing_money,ballot_timing,2020-11-03,349,20,0.181162,0.27345,False
two_party_or_strongest,baseline_timing_money,ballot_timing,2022-11-08,332,20,0.473429,0.27345,False
two_party_or_strongest,baseline_timing_money,ballot_timing,2024-11-05,350,20,0.713226,0.27345,False
two_party_or_strongest,baseline_timing_money,money_logratio_primary,2014-11-04,312,20,2.003519,1.736774,False
two_party_or_strongest,baseline_timing_money,money_logratio_primary,2016-11-08,340,20,1.659297,1.736774,False
two_party_or_strongest,baseline_timing_money,money_logratio_primary,2018-11-06,329,20,1.517895,1.736774,False
two_party_or_strongest,baseline_timing_money,money_logratio_primary,2020-11-03,349,20,1.814382,1.736774,False
two_party_or_strongest,baseline_timing_money,money_logratio_primary,2022-11-08,332,20,1.753767,1.736774,False
two_party_or_strongest,baseline_timing_money,money_logratio_primary,2024-11-05,350,20,1.863633,1.736774,False
