definition,left_variant,right_variant,segment_type,segment_value,n_races,left_rmse,right_rmse,rmse_difference,ci_low,ci_high,interval_spans_zero,interval_available,verdict,races_favouring_left,races_favouring_right,small_sample,resampling_unit,n_clusters,bootstrap_resamples,bootstrap_seed,nesting,terms_added,terms_removed,left_components,right_components,left_mae,right_mae,mae_difference,left_bias,right_bias,bias_difference,left_coverage_90,right_coverage_90,coverage_90_difference,left_crps,right_crps,crps_difference,left_win_accuracy,right_win_accuracy,win_accuracy_difference,left_brier_score,right_brier_score,brier_score_difference,left_win_log_loss,right_win_log_loss,win_log_loss_difference,left_r2,right_r2,r2_difference,left_experiment_role,right_experiment_role,left_censored_races,censor_exclusions_left,censor_exclusions_right
current,baseline,special_pooled_term,pooled,all,424,15.612249,15.65423,-0.041981,-0.2493,0.24747,True,True,undecided,230,194,False,election_date,23,10000,20260912,nested,is_special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current,baseline,special_pooled_term,is_special,False,400,14.962211,15.11727,-0.155059,-0.355282,0.035065,True,True,undecided,220,180,False,election_date,6,10000,20260912,nested,is_special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current,baseline,special_pooled_term,is_special,True,24,23.978838,22.813138,1.1657,0.259008,1.847987,False,True,special_pooled_term lower,10,14,False,election_date,17,10000,20260912,nested,is_special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current,baseline,special_pooled_term,ballot_timing,midterm_dem_pres,165,14.396621,14.505419,-0.108798,-0.192272,-0.049401,False,True,baseline lower,90,75,False,election_date,2,10000,20260912,nested,is_special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current,baseline,special_pooled_term,ballot_timing,midterm_gop_pres,72,18.987664,19.606808,-0.619144,,,,False,undecided,53,19,False,election_date,1,10000,20260912,nested,is_special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current,baseline,special_pooled_term,ballot_timing,presidential,163,13.42795,13.342312,0.085638,0.059299,0.106321,False,True,special_pooled_term lower,77,86,False,election_date,3,10000,20260912,nested,is_special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current,baseline,special_pooled_term,ballot_timing,special,24,23.978838,22.813138,1.1657,0.259008,1.847987,False,True,special_pooled_term lower,10,14,False,election_date,17,10000,20260912,nested,is_special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current,baseline,special_pooled_term,office,State Representative,323,16.037904,16.084184,-0.04628,-0.239302,0.22881,True,True,undecided,170,153,False,election_date,16,10000,20260912,nested,is_special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current,baseline,special_pooled_term,office,State Senate,101,14.165396,14.19206,-0.026664,-0.394643,0.460757,True,True,undecided,60,41,False,election_date,14,10000,20260912,nested,is_special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current,baseline,special_pooled_term,pres_elec,False,261,16.833218,16.938752,-0.105534,-0.36427,0.463143,True,True,undecided,153,108,False,election_date,20,10000,20260912,nested,is_special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
