definition,left_variant,right_variant,omitted_date,remaining_races,remaining_clusters,rmse_difference,full_rmse_difference,sign_change
current,baseline,special_pooled_term,2014-11-04,333,22,-0.040023,-0.041981,False
current,baseline,special_pooled_term,2016-11-08,365,22,-0.063101,-0.041981,False
current,baseline,special_pooled_term,2018-11-06,352,22,0.111926,-0.041981,True
current,baseline,special_pooled_term,2020-11-03,374,22,-0.048088,-0.041981,False
current,baseline,special_pooled_term,2022-11-08,350,22,-0.015539,-0.041981,False
current,baseline,special_pooled_term,2024-11-05,370,22,-0.062669,-0.041981,False
current,baseline,special_pooled_plain,2014-11-04,333,22,-0.001637,0.001312,True
current,baseline,special_pooled_plain,2016-11-08,365,22,-0.005546,0.001312,True
current,baseline,special_pooled_plain,2018-11-06,352,22,0.008454,0.001312,False
current,baseline,special_pooled_plain,2020-11-03,374,22,-0.002289,0.001312,True
current,baseline,special_pooled_plain,2022-11-08,350,22,0.005543,0.001312,False
current,baseline,special_pooled_plain,2024-11-05,370,22,0.004853,0.001312,False
current,baseline,special_split,2014-11-04,333,22,-0.00085,-0.022306,False
current,baseline,special_split,2016-11-08,365,22,-0.106773,-0.022306,False
current,baseline,special_split,2018-11-06,352,22,0.130391,-0.022306,True
current,baseline,special_split,2020-11-03,374,22,-0.026024,-0.022306,False
current,baseline,special_split,2022-11-08,350,22,0.032725,-0.022306,True
current,baseline,special_split,2024-11-05,370,22,-0.035522,-0.022306,False
current,baseline,baseline_num_candidates,2014-11-04,333,22,0.026486,0.060216,False
current,baseline,baseline_num_candidates,2016-11-08,365,22,0.052967,0.060216,False
current,baseline,baseline_num_candidates,2018-11-06,352,22,0.032789,0.060216,False
current,baseline,baseline_num_candidates,2020-11-03,374,22,0.111664,0.060216,False
current,baseline,baseline_num_candidates,2022-11-08,350,22,0.049985,0.060216,False
current,baseline,baseline_num_candidates,2024-11-05,370,22,0.115496,0.060216,False
current,baseline,baseline_pres_incumbent,2014-11-04,333,22,0.061401,0.037622,False
current,baseline,baseline_pres_incumbent,2016-11-08,365,22,0.031107,0.037622,False
current,baseline,baseline_pres_incumbent,2018-11-06,352,22,-0.029575,0.037622,True
current,baseline,baseline_pres_incumbent,2020-11-03,374,22,0.06945,0.037622,False
current,baseline,baseline_pres_incumbent,2022-11-08,350,22,0.055434,0.037622,False
current,baseline,baseline_pres_incumbent,2024-11-05,370,22,0.041391,0.037622,False
current,baseline,baseline_year,2014-11-04,333,22,0.637236,0.690803,False
current,baseline,baseline_year,2016-11-08,365,22,1.013489,0.690803,False
current,baseline,baseline_year,2018-11-06,352,22,0.15875,0.690803,False
current,baseline,baseline_year,2020-11-03,374,22,0.859195,0.690803,False
current,baseline,baseline_year,2022-11-08,350,22,0.913016,0.690803,False
current,baseline,baseline_year,2024-11-05,370,22,0.573581,0.690803,False
current,baseline,baseline_national_env,2014-11-04,333,22,0.489774,0.395578,False
current,baseline,baseline_national_env,2016-11-08,365,22,0.44671,0.395578,False
current,baseline,baseline_national_env,2018-11-06,352,22,-0.442219,0.395578,True
current,baseline,baseline_national_env,2020-11-03,374,22,0.453934,0.395578,False
current,baseline,baseline_national_env,2022-11-08,350,22,0.597644,0.395578,False
current,baseline,baseline_national_env,2024-11-05,370,22,0.470833,0.395578,False
current,baseline,baseline_money_share,2014-11-04,323,20,2.112841,2.025043,False
current,baseline,baseline_money_share,2016-11-08,350,20,1.939702,2.025043,False
current,baseline,baseline_money_share,2018-11-06,339,20,1.813747,2.025043,False
current,baseline,baseline_money_share,2020-11-03,359,20,2.341266,2.025043,False
current,baseline,baseline_money_share,2022-11-08,339,20,1.916683,2.025043,False
current,baseline,baseline_money_share,2024-11-05,357,20,2.25004,2.025043,False
current,baseline,baseline_money_logratio,2014-11-04,323,20,2.226976,2.060124,False
current,baseline,baseline_money_logratio,2016-11-08,350,20,2.00879,2.060124,False
current,baseline,baseline_money_logratio,2018-11-06,339,20,1.93062,2.060124,False
current,baseline,baseline_money_logratio,2020-11-03,359,20,2.183363,2.060124,False
current,baseline,baseline_money_logratio,2022-11-08,339,20,2.042523,2.060124,False
current,baseline,baseline_money_logratio,2024-11-05,357,20,2.131581,2.060124,False
current,baseline,baseline_money_diff,2014-11-04,323,20,0.434756,0.426941,False
current,baseline,baseline_money_diff,2016-11-08,350,20,0.429113,0.426941,False
