redistricting_cycle,office,city_town,ward,precinct,districts
2021,State Representative,Brookline,-,1,10th Suffolk; 15th Norfolk
2021,State Representative,Charlton,-,1,6th Worcester; 7th Worcester
2021,State Representative,East Bridgewater,-,1,7th Plymouth; 9th Plymouth
2021,State Representative,Framingham,-,1,19th Worcester; 6th Middlesex
2021,State Representative,Granby,-,1,2nd Hampshire; 3rd Hampshire
2021,State Representative,Halifax,-,1,12th Plymouth; 6th Plymouth
2021,State Representative,Leicester,-,1,5th Worcester; 7th Worcester
2021,State Representative,Lexington,-,1,15th Middlesex; 21st Middlesex
2021,State Representative,Lincoln,-,1,13th Middlesex; 14th Norfolk
2021,State Representative,Middleton,-,1,13th Essex; 20th Middlesex
2021,State Representative,Northborough,-,1,12th Worcester; 19th Worcester
2021,State Representative,Norwell,-,1,4th Plymouth; 5th Plymouth
2021,State Representative,Pembroke,-,1,12th Plymouth; 6th Plymouth
2021,State Representative,Topsfield,-,1,13th Essex; 2nd Essex
2021,State Representative,Walpole,-,1,11th Norfolk; 12th Norfolk; 9th Norfolk
2021,State Representative,Wenham,-,1,13th Essex; 6th Essex
2021,State Representative,Westborough,-,1,11th Worcester; 19th Worcester
2021,State Representative,Winchester,-,1,15th Middlesex; 31st Middlesex
2011,State Senate,Adams,-,1,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Adams,-,2,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Adams,-,3,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Adams,-,4,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Adams,-,5,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Alford,-,1,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Ashfield,-,1,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Becket,-,1,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Blandford,-,1,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Buckland,-,1,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Cambridge,10,1,2nd Middlesex; 2nd Suffolk and Middlesex
2011,State Senate,Cambridge,10,3,2nd Middlesex; 2nd Suffolk and Middlesex
2011,State Senate,Cambridge,11,1,2nd Middlesex; 2nd Suffolk and Middlesex
2011,State Senate,Cambridge,11,2,2nd Middlesex; 2nd Suffolk and Middlesex
2011,State Senate,Cambridge,11,3,2nd Middlesex; 2nd Suffolk and Middlesex
2011,State Senate,Cambridge,9,2,2nd Middlesex; 2nd Suffolk and Middlesex
2011,State Senate,Cambridge,9,3,2nd Middlesex; 2nd Suffolk and Middlesex
2011,State Senate,Charlemont,-,1,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Cheshire,-,1,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Chester,-,1,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Chesterfield,-,1,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Clarksburg,-,1,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
2011,State Senate,Conway,-,1,"Berkshire, Hampshire and Franklin; Berkshire, Hampshire, Franklin & Hampden"
