pvi_year,redistricting_cycle,pres_year_earlier,pres_year_later,city_town,ward,precinct,dem_votes,gop_votes,two_party_votes,PVI_N,provenance,source_cycle,target_cycle,reason
2008.0,2001.0,2004.0,2008.0,Amherst,-,10A,0.0,0.0,0.0,,missing,,,
2008.0,2001.0,2004.0,2008.0,Amherst,-,3A,0.0,0.0,0.0,,missing,,,
2008.0,2001.0,2004.0,2008.0,Amherst,-,4A,0.0,0.0,0.0,,missing,,,
2008.0,2001.0,2004.0,2008.0,Amherst,-,9A,0.0,0.0,0.0,,missing,,,
2024.0,2021.0,2020.0,2024.0,Boston,10,9A,0.0,0.0,0.0,,missing,,,
2024.0,2021.0,2020.0,2024.0,Boston,3,13A,0.0,0.0,0.0,,missing,,,
2024.0,2021.0,2020.0,2024.0,Boston,6,12A,0.0,0.0,0.0,,missing,,,
2024.0,2021.0,2020.0,2024.0,Boston,8,6A,0.0,0.0,0.0,,missing,,,
2024.0,2021.0,2020.0,2024.0,Lowell,1,1A,0.0,0.0,0.0,,missing,,,
2024.0,2021.0,2020.0,2024.0,Newton,3,1A,0.0,0.0,0.0,,missing,,,
2024.0,2021.0,2020.0,2024.0,Worcester,10,4A,0.0,0.0,0.0,,missing,,,
2024.0,2021.0,2020.0,2024.0,Worcester,2,6A,0.0,0.0,0.0,,missing,,,
2024.0,2021.0,2020.0,2024.0,Worcester,3,3A,0.0,0.0,0.0,,missing,,,
2024.0,2021.0,2020.0,2024.0,Worcester,3,5A,0.0,0.0,0.0,,missing,,,
2024.0,2021.0,2020.0,2024.0,Worcester,4,2B,0.0,0.0,0.0,,missing,,,
