election_id,election_year,office,district_display,dem_margin,dem_margin_two_party,response_shift
126287,2014,State Representative,16th Essex,5.717215741571591,60.13100436681222,54.41378862524063
112857,2012,State Representative,26th Middlesex,43.24188586854165,82.86769024247,39.625804373928354
112755,2012,State Representative,24th Middlesex,35.19268392556532,47.91874012060184,12.72605619503652
124862,2014,State Representative,9th Norfolk,-43.08865586272641,-54.5016077170418,-11.412951854315388
145846,2021,State Representative,19th Suffolk,49.607982893799,60.03430531732419,10.426322423525193
112909,2012,State Representative,5th Hampden,40.35680152914941,49.655064283474445,9.298262754325037
165444,2024,State Representative,9th Plymouth,24.23434194794445,28.72247656420318,4.48813461625873
105741,2010,State Representative,2nd Norfolk,20.016963528413918,23.873459628471583,3.856496100057665
165551,2024,State Representative,9th Middlesex,52.04991087344028,55.718746386029835,3.6688355125895526
105693,2010,State Representative,1st Worcester,-26.6206313416009,-29.85617196143512,-3.235540619834218
112737,2012,State Senate,1st Essex,12.298359125707869,15.463296278088773,3.1649371523809045
112957,2012,State Representative,14th Worcester,31.18478730629129,34.181498274345266,2.996710968053975
105599,2010,State Representative,22nd Middlesex,-16.519275943070333,-19.252757871004107,-2.7334819279337736
165401,2024,State Representative,6th Essex,47.29903261707046,49.89614377314188,2.5971111560714206
105558,2010,State Representative,2nd Berkshire,19.993351063829788,22.519284056017376,2.525932992187588
105533,2010,State Representative,3rd Hampshire,58.854515850972135,61.27231030012963,2.4177944491574976
105749,2010,State Representative,31st Middlesex,17.004780226186313,19.416894095719897,2.4121138695335844
160911,2024,State Representative,6th Worcester,-96.00772698003864,-98.32930314354803,-2.321576163509391
131716,2018,State Representative,4th Plymouth,23.16008316008316,25.455745696440356,2.295662536357195
105598,2010,State Senate,2nd Essex,30.03600404838147,32.30313520458236,2.2671311562008896
105497,2010,State Senate,Norfolk and Plymouth,21.222726934246776,23.474178403755868,2.2514514695090924
105754,2010,State Representative,4th Norfolk,30.583783026140583,32.66467065868264,2.080887632542055
105735,2010,State Representative,13th Worcester,20.3551912568306,22.434424280846343,2.0792330240157426
105665,2010,State Representative,36th Middlesex,17.885965487828887,19.947314503146497,2.06134901531761
105700,2010,State Representative,16th Essex,67.59275237273512,69.53665897390378,1.9439066011686634
140904,2020,State Representative,13th Essex,9.117466174661748,10.978431917060076,1.860965742398328
105666,2010,State Senate,1st Middlesex,18.23631277474358,20.09098914000587,1.8546763652622893
140937,2020,State Representative,4th Norfolk,34.3667913714877,36.16148079902843,1.7946894275407317
130252,2016,State Senate,Middlesex and Worcester,33.29599519608296,34.92242287707569,1.6264276809927267
105723,2010,State Representative,15th Essex,14.282539447366476,15.87092525518604,1.588385807819563
130299,2016,State Representative,7th Middlesex,28.678038379530918,30.165405102326886,1.4873667227959686
165550,2024,State Representative,19th Middlesex,13.741673300096357,15.018315018315018,1.2766417182186611
140989,2020,State Representative,4th Hampden,-8.073852295409184,-9.334256374754817,-1.2604040793456335
131706,2018,State Representative,9th Essex,-28.128000000000004,-29.267480577136517,-1.1394805771365135
126178,2014,State Representative,8th Worcester,-25.15955903684364,-26.294246949139694,-1.1346879122960551
124796,2013,State Senate,1st Suffolk,67.06996317727511,68.17452678857876,1.1045636113036466
127018,2016,State Representative,12th Essex,20.181259103414796,21.16788321167883,0.986624108264035
126218,2014,State Senate,Plymouth and Barnstable,-25.88413903316021,-26.85936023083429,-0.975221197674081
105649,2010,State Representative,4th Barnstable,28.815494952263492,29.729474974078613,0.9139800218151208
130250,2016,State Representative,14th Middlesex,23.90164600690916,24.72982633194567,0.8281803250365094
140841,2020,State Representative,12th Worcester,16.670054062842972,17.45032126292498,0.7802672000820081
105660,2010,State Representative,9th Bristol,12.881554917818944,13.623508312064564,0.7419533942456198
