election_id,election_date,office,district_display,reason,num_candidates_admitted,write_in_share,top_write_in_share
105709,2010-11-02,State Representative,10th Essex,uncontested: fewer than two candidates,1,0.0,0.0
105748,2010-11-02,State Representative,10th Hampden,uncontested: fewer than two candidates,1,0.0,0.0
105683,2010-11-02,State Representative,10th Norfolk,uncontested: fewer than two candidates,1,0.0,0.0
105617,2010-11-02,State Representative,10th Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105696,2010-11-02,State Representative,10th Worcester,uncontested: fewer than two candidates,1,0.0,0.0
105707,2010-11-02,State Representative,11th Essex,uncontested: fewer than two candidates,1,0.0,0.0
105747,2010-11-02,State Representative,11th Hampden,uncontested: fewer than two candidates,1,0.0,0.0
105729,2010-11-02,State Representative,11th Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105661,2010-11-02,State Representative,11th Norfolk,uncontested: fewer than two candidates,1,0.0,0.0
105606,2010-11-02,State Representative,11th Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105684,2010-11-02,State Representative,12th Bristol,uncontested: fewer than two candidates,1,0.0,0.0
105731,2010-11-02,State Representative,12th Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105620,2010-11-02,State Representative,12th Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105728,2010-11-02,State Representative,13th Bristol,uncontested: fewer than two candidates,1,0.0,0.0
105704,2010-11-02,State Representative,13th Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105619,2010-11-02,State Representative,13th Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105565,2010-11-02,State Representative,14th Bristol,uncontested: fewer than two candidates,1,0.0,0.0
105610,2010-11-02,State Representative,14th Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105752,2010-11-02,State Representative,14th Worcester,uncontested: fewer than two candidates,1,0.0,0.0
105547,2010-11-02,State Representative,15th Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105642,2010-11-02,State Representative,15th Norfolk,uncontested: fewer than two candidates,1,0.0,0.0
105607,2010-11-02,State Representative,15th Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105755,2010-11-02,State Representative,15th Worcester,uncontested: fewer than two candidates,1,0.0,0.0
105652,2010-11-02,State Representative,16th Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105653,2010-11-02,State Representative,16th Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105756,2010-11-02,State Representative,16th Worcester,uncontested: fewer than two candidates,1,0.0,0.0
105651,2010-11-02,State Representative,17th Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105614,2010-11-02,State Representative,17th Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105701,2010-11-02,State Representative,17th Worcester,uncontested: fewer than two candidates,1,0.0,0.0
105705,2010-11-02,State Representative,18th Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105604,2010-11-02,State Representative,18th Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105743,2010-11-02,State Representative,19th Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105517,2010-11-02,State Representative,1st Berkshire,uncontested: fewer than two candidates,1,0.0,0.0
105681,2010-11-02,State Representative,1st Bristol,uncontested: fewer than two candidates,1,0.0,0.0
105587,2010-11-02,State Representative,1st Franklin,uncontested: fewer than two candidates,1,0.0,0.0
105635,2010-11-02,State Representative,1st Hampden,uncontested: fewer than two candidates,1,0.0,0.0
105689,2010-11-02,State Representative,1st Hampshire,uncontested: fewer than two candidates,1,0.0,0.0
105740,2010-11-02,State Representative,1st Norfolk,uncontested: fewer than two candidates,1,0.0,0.0
105739,2010-11-02,State Representative,1st Plymouth,uncontested: fewer than two candidates,1,0.0,0.0
105609,2010-11-02,State Representative,1st Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105711,2010-11-02,State Representative,20th Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105585,2010-11-02,State Representative,21st Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105549,2010-11-02,State Representative,23rd Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105644,2010-11-02,State Representative,25th Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105646,2010-11-02,State Representative,26th Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105746,2010-11-02,State Representative,27th Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105645,2010-11-02,State Representative,29th Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105673,2010-11-02,State Representative,2nd Hampshire,uncontested: fewer than two candidates,1,0.0,0.0
105650,2010-11-02,State Representative,2nd Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105613,2010-11-02,State Representative,2nd Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105714,2010-11-02,State Representative,33rd Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105690,2010-11-02,State Representative,3rd Essex,uncontested: fewer than two candidates,1,0.0,0.0
105618,2010-11-02,State Representative,3rd Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105680,2010-11-02,State Representative,3rd Worcester,uncontested: fewer than two candidates,1,0.0,0.0
105628,2010-11-02,State Representative,4th Essex,uncontested: fewer than two candidates,1,0.0,0.0
105753,2010-11-02,State Representative,4th Hampden,uncontested: fewer than two candidates,1,0.0,0.0
105718,2010-11-02,State Representative,4th Plymouth,uncontested: fewer than two candidates,1,0.0,0.0
105702,2010-11-02,State Representative,4th Worcester,uncontested: fewer than two candidates,1,0.0,0.0
105662,2010-11-02,State Representative,5th Bristol,uncontested: fewer than two candidates,1,0.0,0.0
105695,2010-11-02,State Representative,5th Hampden,uncontested: fewer than two candidates,1,0.0,0.0
105724,2010-11-02,State Representative,5th Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105608,2010-11-02,State Representative,5th Suffolk,no usable two-candidate contest,2,0.048027138011069455,0.048027138011069455
105574,2010-11-02,State Representative,6th Norfolk,uncontested: fewer than two candidates,1,0.0,0.0
105616,2010-11-02,State Representative,6th Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105744,2010-11-02,State Representative,7th Essex,uncontested: fewer than two candidates,1,0.0,0.0
105588,2010-11-02,State Representative,7th Hampden,uncontested: fewer than two candidates,1,0.0,0.0
105725,2010-11-02,State Representative,7th Norfolk,uncontested: fewer than two candidates,1,0.0,0.0
105615,2010-11-02,State Representative,7th Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
105569,2010-11-02,State Representative,7th Worcester,uncontested: fewer than two candidates,1,0.0,0.0
105654,2010-11-02,State Representative,8th Hampden,uncontested: fewer than two candidates,1,0.0,0.0
105715,2010-11-02,State Representative,8th Norfolk,uncontested: fewer than two candidates,1,0.0,0.0
105703,2010-11-02,State Representative,9th Middlesex,uncontested: fewer than two candidates,1,0.0,0.0
105639,2010-11-02,State Representative,9th Plymouth,uncontested: fewer than two candidates,1,0.0,0.0
105612,2010-11-02,State Representative,9th Suffolk,uncontested: fewer than two candidates,1,0.0,0.0
